Unnamed: 0,Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
0,Adrian Peterson,MIN,RB,27.0,16.0,16.0,51.0,40.0,0.0,0.0,0.0,2097.0,12.0,348.0,217.0,1.0,345.4,0.0,4.0,2.0
1,Doug Martin,TAM,RB,23.0,16.0,16.0,70.0,49.0,0.0,0.0,0.0,1454.0,11.0,319.0,472.0,1.0,311.6,0.0,1.0,1.0
2,Arian Foster,HOU,RB,26.0,16.0,16.0,58.0,40.0,0.0,0.0,0.0,1424.0,15.0,351.0,217.0,2.0,302.1,0.0,3.0,2.0
3,Marshawn Lynch,SEA,RB,26.0,16.0,15.0,30.0,23.0,0.0,0.0,0.0,1590.0,11.0,315.0,196.0,1.0,269.6,0.0,5.0,2.0
4,Alfred Morris,WAS,RB,24.0,16.0,16.0,16.0,11.0,0.0,0.0,0.0,1613.0,13.0,335.0,77.0,0.0,252.0,0.0,4.0,3.0
5,Calvin Johnson,DET,WR,27.0,16.0,16.0,204.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,1964.0,5.0,342.4,0.0,3.0,3.0
6,Brandon Marshall,CHI,WR,28.0,16.0,16.0,192.0,118.0,0.0,0.0,0.0,-2.0,0.0,1.0,1508.0,11.0,334.6,0.0,2.0,0.0
7,Drew Brees,NOR,QB,33.0,16.0,16.0,0.0,0.0,5177.0,43.0,670.0,5.0,1.0,15.0,0.0,0.0,345.58000000000015,19.0,5.0,1.0
8,Aaron Rodgers,GNB,QB,29.0,16.0,16.0,1.0,1.0,4295.0,39.0,552.0,259.0,2.0,54.0,-1.0,0.0,342.6,8.0,5.0,4.0
9,Ray Rice,BAL,RB,25.0,16.0,16.0,83.0,61.0,0.0,0.0,0.0,1143.0,9.0,257.0,478.0,1.0,283.1,0.0,1.0,0.0
10,Tom Brady,NWE,QB,35.0,16.0,16.0,0.0,0.0,4827.0,34.0,637.0,32.0,4.0,23.0,0.0,0.0,340.2800000000001,8.0,2.0,0.0
11,Dez Bryant,DAL,WR,24.0,16.0,14.0,138.0,92.0,0.0,0.0,0.0,-5.0,0.0,2.0,1382.0,12.0,297.7,0.0,5.0,2.0
12,A.J. Green,CIN,WR,24.0,16.0,16.0,164.0,97.0,0.0,0.0,0.0,38.0,0.0,4.0,1350.0,11.0,299.8,0.0,2.0,1.0
13,C.J. Spiller,BUF,RB,25.0,16.0,9.0,57.0,43.0,0.0,0.0,0.0,1244.0,6.0,207.0,459.0,2.0,255.3,0.0,3.0,3.0
14,Demaryius Thomas,DEN,WR,25.0,16.0,16.0,143.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,1434.0,10.0,291.4,0.0,3.0,3.0
15,Jamaal Charles,KAN,RB,26.0,16.0,15.0,49.0,35.0,0.0,0.0,0.0,1509.0,5.0,285.0,236.0,1.0,239.5,0.0,5.0,3.0
16,Trent Richardson,CLE,RB,22.0,15.0,15.0,70.0,51.0,0.0,0.0,0.0,950.0,11.0,267.0,367.0,1.0,254.7,0.0,3.0,0.0
17,Cam Newton,CAR,QB,23.0,16.0,16.0,1.0,0.0,3869.0,19.0,485.0,741.0,8.0,127.0,6.0,0.0,323.46,12.0,10.0,3.0
18,Vincent Jackson,TAM,WR,29.0,16.0,16.0,147.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,1384.0,8.0,258.4,0.0,0.0,0.0
19,Stevan Ridley,NWE,RB,23.0,16.0,12.0,14.0,6.0,0.0,0.0,0.0,1263.0,12.0,290.0,51.0,0.0,205.4,0.0,4.0,2.0
20,Andre Johnson,HOU,WR,31.0,16.0,16.0,162.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,1598.0,4.0,295.8,0.0,0.0,0.0
21,Robert Griffin,WAS,QB,22.0,15.0,15.0,1.0,0.0,3200.0,20.0,393.0,815.0,7.0,120.0,0.0,0.0,317.5,5.0,12.0,2.0
22,Frank Gore,SFO,RB,29.0,16.0,16.0,36.0,28.0,0.0,0.0,0.0,1214.0,8.0,258.0,234.0,1.0,224.8,0.0,3.0,1.0
23,Eric Decker,DEN,WR,25.0,16.0,15.0,122.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,1064.0,13.0,269.4,0.0,0.0,0.0
24,Julio Jones,ATL,WR,23.0,16.0,15.0,128.0,79.0,0.0,0.0,0.0,30.0,0.0,6.0,1198.0,10.0,261.8,0.0,0.0,0.0
25,Peyton Manning,DEN,QB,36.0,16.0,16.0,0.0,0.0,4659.0,37.0,583.0,6.0,0.0,23.0,0.0,0.0,308.9600000000001,11.0,2.0,2.0
26,Roddy White,ATL,WR,31.0,16.0,15.0,142.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,1351.0,7.0,269.1,0.0,1.0,0.0
27,Jimmy Graham,NOR,TE,26.0,15.0,9.0,135.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,982.0,9.0,237.2,0.0,1.0,0.0
28,Matt Ryan,ATL,QB,27.0,16.0,16.0,0.0,0.0,4719.0,32.0,615.0,141.0,1.0,34.0,0.0,0.0,304.86,14.0,3.0,2.0
