Unnamed: 0,Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
0,Priest Holmes,KAN,RB,29.0,14.0,14.0,81.0,70.0,0.0,0.0,1.0,1615.0,21.0,313.0,672.0,3.0,440.7,0.0,1.0,1.0
1,Ricky Williams,MIA,RB,25.0,16.0,16.0,59.0,47.0,0.0,0.0,0.0,1853.0,16.0,383.0,363.0,1.0,362.6,0.0,7.0,4.0
2,LaDainian Tomlinson,SDG,RB,23.0,16.0,16.0,101.0,79.0,0.0,0.0,0.0,1683.0,14.0,372.0,489.0,1.0,384.20000000000016,0.0,3.0,1.0
3,Clinton Portis,DEN,RB,21.0,16.0,12.0,49.0,33.0,0.0,0.0,0.0,1508.0,15.0,273.0,364.0,2.0,316.2000000000001,0.0,5.0,3.0
4,Shaun Alexander,SEA,RB,25.0,16.0,16.0,78.0,59.0,0.0,0.0,0.0,1175.0,16.0,295.0,460.0,2.0,328.5,0.0,3.0,1.0
5,Deuce McAllister,NOR,RB,24.0,15.0,15.0,74.0,47.0,0.0,0.0,0.0,1388.0,13.0,325.0,352.0,3.0,311.0,0.0,4.0,3.0
6,Marvin Harrison,IND,WR,30.0,16.0,16.0,205.0,143.0,0.0,0.0,0.0,10.0,0.0,2.0,1722.0,11.0,382.2,0.0,0.0,0.0
7,Charlie Garner,OAK,RB,30.0,16.0,15.0,111.0,91.0,0.0,0.0,0.0,962.0,7.0,182.0,941.0,4.0,347.3,0.0,0.0,0.0
8,Tiki Barber,NYG,RB,27.0,16.0,15.0,95.0,69.0,0.0,0.0,0.0,1387.0,11.0,304.0,597.0,0.0,321.4,0.0,9.0,6.0
9,Travis Henry,BUF,RB,24.0,16.0,16.0,59.0,43.0,0.0,0.0,0.0,1438.0,13.0,325.0,309.0,1.0,283.7000000000001,0.0,11.0,9.0
10,Hines Ward,PIT,WR,26.0,16.0,16.0,160.0,112.0,0.0,0.0,0.0,142.0,0.0,12.0,1329.0,12.0,329.1,0.0,1.0,1.0
11,Terrell Owens,SFO,WR,29.0,14.0,14.0,159.0,100.0,0.0,0.0,0.0,79.0,1.0,7.0,1300.0,13.0,321.9,0.0,0.0,0.0
12,Eddie George,TEN,RB,29.0,16.0,16.0,46.0,36.0,0.0,0.0,0.0,1165.0,12.0,343.0,255.0,2.0,260.0,0.0,1.0,1.0
13,Rich Gannon,OAK,QB,37.0,16.0,16.0,0.0,0.0,4689.0,26.0,618.0,156.0,3.0,50.0,0.0,0.0,299.16,10.0,9.0,3.0
14,Fred Taylor,JAX,RB,26.0,16.0,16.0,57.0,49.0,0.0,0.0,0.0,1314.0,8.0,287.0,408.0,0.0,265.2,0.0,3.0,2.0
15,Ahman Green,GNB,RB,25.0,14.0,14.0,74.0,57.0,0.0,0.0,0.0,1240.0,7.0,286.0,393.0,2.0,268.3,0.0,4.0,3.0
16,Jamal Lewis,BAL,RB,23.0,16.0,15.0,60.0,47.0,0.0,0.0,0.0,1327.0,6.0,308.0,442.0,1.0,251.9,0.0,8.0,7.0
17,Eric Moulds,BUF,WR,29.0,16.0,15.0,180.0,100.0,0.0,0.0,0.0,7.0,0.0,1.0,1292.0,10.0,289.9,0.0,1.0,0.0
18,Marshall Faulk,STL,RB,29.0,14.0,10.0,102.0,80.0,0.0,0.0,0.0,953.0,8.0,212.0,537.0,2.0,283.0,0.0,4.0,3.0
19,Randy Moss,MIN,WR,25.0,16.0,16.0,185.0,106.0,13.0,1.0,3.0,51.0,0.0,6.0,1347.0,7.0,290.32,0.0,1.0,1.0
20,Michael Vick,ATL,QB,22.0,15.0,15.0,1.0,0.0,2936.0,16.0,421.0,777.0,8.0,113.0,16.0,0.0,282.74,8.0,9.0,5.0
21,Duce Staley,PHI,RB,27.0,16.0,16.0,69.0,51.0,0.0,0.0,0.0,1029.0,5.0,269.0,541.0,3.0,256.0,0.0,3.0,0.0
22,Todd Heap,BAL,TE,22.0,16.0,16.0,122.0,68.0,0.0,0.0,1.0,38.0,0.0,4.0,836.0,6.0,191.4,0.0,0.0,0.0
23,Amani Toomer,NYG,WR,28.0,16.0,16.0,134.0,82.0,0.0,0.0,0.0,2.0,0.0,1.0,1343.0,8.0,264.5,0.0,0.0,0.0
24,Daunte Culpepper,MIN,QB,25.0,16.0,16.0,0.0,0.0,3853.0,18.0,549.0,609.0,10.0,106.0,0.0,0.0,283.02,23.0,23.0,9.0
